date,product,region,units_sold,revenue
2026-02-06 08:40:55.580912,Laptop,Kisumu,12,216000.0
2026-02-06 08:40:55.581387,Laptop,Eldoret,11,275000.0
2026-02-07 08:40:55.580877,Monitor,Mombasa,3,135000.0
2026-02-07 08:40:55.581117,Phone,Nairobi,11,275000.0
2026-02-07 08:40:55.581280,Laptop,Eldoret,8,360000.0
2026-02-07 08:40:55.581297,Monitor,Mombasa,17,765000.0
2026-02-09 08:40:55.580869,Headphones,Eldoret,14,49000.0
2026-02-10 08:40:55.580599,Headphones,Eldoret,5,225000.0
2026-02-10 08:40:55.581237,Headphones,Eldoret,15,52500.0
2026-02-10 08:40:55.581463,Headphones,Eldoret,4,180000.0
2026-02-11 08:40:55.580683,Laptop,Nairobi,12,216000.0
2026-02-11 08:40:55.580718,Laptop,Kisumu,18,63000.0
2026-02-11 08:40:55.581003,Headphones,Kisumu,18,324000.0
2026-02-11 08:40:55.581295,Phone,Nairobi,3,135000.0
2026-02-11 08:40:55.581392,Monitor,Mombasa,5,17500.0
2026-02-11 08:40:55.581417,Headphones,Kisumu,6,21000.0
2026-02-12 08:40:55.580987,Laptop,Kisumu,19,475000.0
2026-02-12 08:40:55.581260,Monitor,Kisumu,18,810000.0
2026-02-12 08:40:55.581511,Headphones,Nairobi,15,375000.0
2026-02-13 08:40:55.580977,Laptop,Kisumu,4,14000.0
2026-02-13 08:40:55.581134,Headphones,Kisumu,8,360000.0
2026-02-13 08:40:55.581477,Laptop,Eldoret,18,63000.0
2026-02-13 08:40:55.581482,Laptop,Mombasa,18,324000.0
2026-02-14 08:40:55.581171,Headphones,Mombasa,7,175000.0
2026-02-14 08:40:55.581266,Monitor,Mombasa,11,275000.0
2026-02-15 08:40:55.581350,Phone,Mombasa,4,72000.0
2026-02-16 08:40:55.580752,Laptop,Eldoret,6,108000.0
2026-02-17 08:40:55.580950,Headphones,Kisumu,18,63000.0
2026-02-17 08:40:55.581158,Headphones,Nairobi,5,90000.0
2026-02-17 08:40:55.581226,Headphones,Mombasa,3,54000.0
2026-02-17 08:40:55.581282,Laptop,Kisumu,11,198000.0
2026-02-17 08:40:55.581348,Monitor,Mombasa,6,270000.0
2026-02-17 08:40:55.581402,Phone,Nairobi,1,45000.0
2026-02-18 08:40:55.581519,Laptop,Nairobi,3,75000.0
2026-02-18 08:40:55.581568,Phone,Mombasa,11,495000.0
2026-02-19 08:40:55.580625,Monitor,Eldoret,3,10500.0
2026-02-19 08:40:55.580712,Headphones,Eldoret,6,108000.0
2026-02-19 08:40:55.581115,Monitor,Eldoret,12,42000.0
2026-02-19 08:40:55.581425,Monitor,Eldoret,8,360000.0
2026-02-19 08:40:55.581457,Laptop,Kisumu,11,38500.0
2026-02-19 08:40:55.581484,Phone,Nairobi,12,216000.0
2026-02-19 08:40:55.581583,Monitor,Mombasa,6,150000.0
